datetime;wind;solar,rooftop;solar,utility;curtailment
2016-01-01;820.396835305203;0.0;31.858592296275734;2.5663134737012605
2016-02-01;681.0054341798005;0.0;37.37977838701235;1.5326161982615585
2016-03-01;612.1234785401873;0.0;38.56244716778891;4.273872759540899
2016-04-01;666.7983579121538;0.0;39.22653656394245;3.5962152416706155
2016-05-01;1298.734328536935;0.0;35.00958852965186;6.313600951058864
2016-06-01;1020.2915102863951;0.0;25.04094414055577;2.525645343303601
2016-07-01;1242.7802571607829;0.0;31.76464529285803;1.2458009343147556
2016-08-01;999.2319886558935;0.0;39.21541273095738;0.6201275037129445
2016-09-01;839.7028523165881;0.0;39.09281487238847;3.8494762338570863
2016-10-01;1211.077088350056;0.0;53.70386830120813;43.302664173683766
2016-11-01;909.7528323753801;0.0;57.15691820098366;9.564136775620732
2016-12-01;884.9096582434656;0.0;53.94363438336427;3.095499657831573
2017-01-01;857.4878563489704;0.0;55.36209285270353;-0.40601903311424514
2017-02-01;820.2950392998445;0.0;49.798678684437455;1.4380713335672977
2017-03-01;881.2199665486091;0.0;51.49355751180833;10.431254446565564
2017-04-01;662.7593690461399;0.0;50.84529471527996;2.1458412561020106
2017-05-01;809.9322227980625;0.0;45.71900217490379;0.17775693294131859
2017-06-01;474.8279271166359;0.0;39.44019420736867;0.1303620384128848
2017-07-01;1334.9798828440744;0.0;45.085537700542716;4.873192171732304
2017-08-01;1214.4312025387626;0.0;53.34439025449567;30.252850309531066
2017-09-01;1461.176911590669;0.0;57.481435115575394;45.94145231854917
2017-10-01;1012.2143781920036;0.0;59.74883977668586;15.100313990155627
2017-11-01;859.9379670567205;0.0;58.80341301395574;2.9662132990360055
2017-12-01;975.5872410601427;0.0;68.47293219187935;6.774238630490853
2018-01-01;978.3433944730409;0.0;71.17824381865108;5.754515529632267
2018-02-01;963.7729244574706;0.0;64.91330620135476;0.21491682815548577
2018-03-01;1132.9080566495984;208.39047614292963;73.66463140000884;7.420437934715549
2018-04-01;873.1593195212665;499.75901394198024;80.45326965236775;13.643756222328191
2018-05-01;1216.5475048661806;389.75888790746654;81.91289762890689;12.721823699646711
2018-06-01;1051.4865540509925;347.18279342100953;83.0499507492227;24.769563301604364
2018-07-01;1622.3272500597907;413.3585303404278;115.6558305184575;66.7971041356534
2018-08-01;1636.1810756681086;547.8238589446511;160.1287982499967;70.27703926766837
2018-09-01;1220.7750701405873;678.6292007035388;196.72062214210777;23.63245371611926
2018-10-01;1220.0632810840511;758.3221635155753;248.93094939812974;17.101155289099054
2018-11-01;1171.0459473152248;898.896585206924;324.6533686449371;25.243600711799086
2018-12-01;1229.2394838595524;984.9202852625765;368.4680480552801;27.493918132150387
2019-01-01;1136.4633474772736;1048.3532744701208;370.70502244282426;25.54118900794072
2019-02-01;1204.248117374086;852.0818004200084;342.43747295982956;28.069494895050187
2019-03-01;1168.5784672594543;781.0949180510697;347.75977295402026;33.72163619437915
2019-04-01;1232.6910570018322;628.001778212725;346.94002898539486;38.584809222459405
2019-05-01;1478.3848148939246;483.4327112856479;299.398994211728;46.46758165454912
2019-06-01;1316.1696904186795;405.18425762968354;296.1920813257599;33.00116724465269
2019-07-01;1730.8216000141472;497.19528638954864;358.5191776779915;88.02372206546265
2019-08-01;1703.794670346348;662.848934998768;449.23588028044696;77.48759072875791
2019-09-01;1454.0788078702456;861.7834508414593;480.8902160576378;108.11477277681574
2019-10-01;1409.1590563730176;1077.891717658577;523.733499956082;118.33535346437758
2019-11-01;1588.7022248156513;1189.2108371992254;616.1772912956784;93.31704571485459
2019-12-01;1512.0842791764767;1403.2963200241898;682.3434105193213;52.7182876462941
2020-01-01;1431.4684180277216;1226.8588417014237;568.5760039042273;62.08200334118625
